Education,JoiningYear,City,PaymentTier,Age,Gender,EverBenched,ExperienceInCurrentDomain,LeaveOrNot,Department,Salary,Name
Bachelors,2017,Bangalore,3,34,Male,No,0,0,Operations,99227,PYVUOHC
Bachelors,2013,Pune,1,28,Female,No,3,1,Operations,68303,WPSXNNXSII
Bachelors,2014,New Delhi,3,38,Female,No,2,0,Marketing,62096,PUSTAXIOGP
Masters,2016,Bangalore,3,27,Male,No,5,1,Finance,77150,JPCKOCZIJAITLI
Masters,2017,Pune,3,24,Male,Yes,2,1,HR,91939,SNRLAVOBFVA
Bachelors,2016,Bangalore,3,22,Male,No,0,0,IT,81979,WOPOONGJG
Bachelors,2015,New Delhi,3,38,Male,No,0,0,Marketing,88608,TQXDIQ
Bachelors,2016,Bangalore,3,34,Female,No,2,1,IT,94026,ZOFRSHLOBIT
Bachelors,2016,Pune,3,23,Male,No,1,0,IT,59711,MKLPLZK
Masters,2017,New Delhi,2,37,Male,No,2,0,Marketing,89223,TFNJPBTKXSAWV
Masters,2012,Bangalore,3,27,Male,No,5,1,Finance,52382,HCLJNRVGF
Bachelors,2016,Pune,3,34,Male,No,3,0,IT,80582,DQWEGOR
Bachelors,2018,Pune,3,32,Male,Yes,5,1,HR,84431,GRKMIFMGBR
Bachelors,2016,Bangalore,3,39,Male,No,2,0,Marketing,97185,LNKXFNPC
Bachelors,2012,Bangalore,3,37,Male,No,4,0,HR,68811,KTEWRIOZA
Bachelors,2017,Bangalore,1,29,Male,No,3,0,Marketing,98868,UCITVHZ
Bachelors,2014,Bangalore,3,34,Female,No,2,0,Marketing,97951,NXPQINYDVWXIB
Bachelors,2014,Pune,3,34,Male,No,4,0,IT,99407,KAHOYXDMMHF
Bachelors,2015,Pune,2,30,Female,No,0,1,Marketing,79152,PXETDCV
Bachelors,2016,New Delhi,2,22,Female,No,0,1,Finance,59676,NYYPPPBCTVEA
Bachelors,2012,Bangalore,3,37,Male,No,0,0,HR,55899,URNBOOGYFYKEE
Masters,2017,New Delhi,2,28,Male,No,4,0,HR,57617,AKFRGG
Bachelors,2017,New Delhi,2,36,Male,No,3,0,Marketing,56060,EMGNNHFM
Bachelors,2015,Bangalore,3,27,Male,Yes,5,0,HR,87236,CMFEXULHLDWLM
Bachelors,2017,Bangalore,3,29,Male,No,4,0,Marketing,91576,KVJIGOHRDPDM
Bachelors,2013,Bangalore,3,22,Female,Yes,0,0,Finance,56879,JCTQLTUW
Bachelors,2016,Bangalore,3,37,Male,No,2,0,Operations,86238,EWLMH
Bachelors,2015,Bangalore,3,23,Male,No,1,0,Finance,57945,BOJNYSPHY
Bachelors,2013,Pune,2,31,Female,No,2,1,Operations,83844,QRYLBRLYSW
Masters,2017,New Delhi,2,30,Female,No,2,0,Finance,56855,EMWUXGN
PHD,2013,New Delhi,3,25,Male,No,3,0,IT,66523,EEGXL
Bachelors,2014,Bangalore,3,23,Male,No,1,0,Finance,64562,UZNFLEERFZ
Bachelors,2018,Bangalore,3,26,Male,No,4,1,Operations,91364,ILRDOWHBOFPH
Bachelors,2016,Bangalore,3,40,Male,No,5,0,HR,94550,NNDUTOBVSAZYJV
Bachelors,2017,Pune,2,37,Female,No,0,1,IT,93877,BRKRKGQCY
Bachelors,2014,Bangalore,1,30,Female,No,3,0,Marketing,94421,ZIFQFV
Bachelors,2012,New Delhi,3,29,Male,No,3,0,IT,87031,ATRSW
Bachelors,2018,New Delhi,2,34,Female,No,0,1,IT,83072,VBLUREBMIM
Bachelors,2017,Pune,2,29,Female,No,2,1,IT,91289,DOVBTGLGMICWWX
Bachelors,2014,Pune,3,30,Male,Yes,4,0,Marketing,78124,BJXXKZNHCCY
Bachelors,2015,Bangalore,3,36,Male,No,1,0,IT,71988,DHSSLTYMY
Masters,2017,New Delhi,2,23,Male,No,1,0,Operations,50807,CXKCMZHCGMK
Bachelors,2013,Bangalore,3,30,Male,No,3,1,Marketing,76654,WDULPYQDJWTFT
Bachelors,2014,Bangalore,3,36,Male,No,0,0,IT,80185,RKAHLXWBPBV
Bachelors,2015,Pune,3,39,Male,No,4,0,HR,58012,XRHBERFHIGQOF
Bachelors,2014,Bangalore,3,23,Female,No,1,0,HR,74180,PBAIEHORLUK
PHD,2012,New Delhi,3,27,Male,No,5,0,Operations,90566,PLXSQVDDNIERIG
Masters,2013,New Delhi,3,35,Male,No,2,0,Marketing,59566,DLLJFMMU
Masters,2017,New Delhi,2,34,Male,No,0,0,Finance,86266,IXMSWCSED
Bachelors,2013,Bangalore,3,30,Female,No,1,0,HR,78356,PYPBPTDBAV
PHD,2017,New Delhi,3,34,Male,No,2,0,HR,91987,EXDKFJHCX
Bachelors,2015,Pune,2,26,Female,No,4,1,Operations,84472,SXQLOQALJZOTR
Bachelors,2016,Bangalore,3,34,Female,No,0,0,Finance,66346,SRXFICGGUTLY
Bachelors,2014,Bangalore,3,31,Female,Yes,5,0,IT,63331,RJTZLOBU
Bachelors,2017,New Delhi,3,31,Female,Yes,5,0,HR,90752,JWPJGIYIR
PHD,2013,New Delhi,3,28,Male,No,2,0,Operations,79110,UOEKZHDP
Bachelors,2016,Bangalore,3,38,Male,No,2,0,Marketing,88831,WAFOJYUJPVY
Masters,2014,Pune,3,39,Female,No,2,0,Marketing,50486,RLEPCVL
Bachelors,2013,Pune,3,32,Male,No,4,0,IT,76298,LQMWMYOIJ
Masters,2017,Pune,2,36,Male,No,2,1,Operations,97042,CEZXZTAS
Masters,2013,New Delhi,3,29,Male,No,3,0,Marketing,68922,KLTIIMH
Bachelors,2015,Bangalore,3,30,Male,No,5,0,Operations,79597,KPBTDD
PHD,2013,Bangalore,2,25,Male,No,3,1,Finance,76053,FZKJSMSHKXD
Bachelors,2014,Pune,1,22,Female,No,0,1,Marketing,80739,RZHKR
Bachelors,2016,Bangalore,3,34,Male,No,4,0,Finance,66187,KUFSPUPIOZY
Bachelors,2018,Bangalore,3,40,Male,No,1,1,Finance,98714,VXOUVLOBCYTCA
PHD,2013,Bangalore,3,26,Male,No,4,0,Finance,86354,LOSXKSPTPDZ
Bachelors,2014,New Delhi,3,28,Male,No,0,0,Operations,97960,FPFVNT
Bachelors,2015,Bangalore,3,24,Female,No,2,0,Operations,70898,EQULDM
Masters,2017,Bangalore,3,40,Female,No,2,1,Finance,57350,BUBBEJYBNQBC
Bachelors,2018,Bangalore,3,23,Female,No,1,1,HR,98791,CUISGLHRWOF
Masters,2017,Bangalore,3,31,Male,No,4,0,HR,99272,EEOXMIZ
Bachelors,2014,Pune,3,25,Female,No,3,0,Operations,66687,FQEKPAXDBPTBH
Bachelors,2014,Bangalore,1,27,Male,No,5,0,Finance,95023,VHTRXWBRXF
Masters,2017,New Delhi,2,25,Female,No,3,1,HR,98645,LVVPBHBU
Bachelors,2015,Bangalore,3,40,Male,No,0,1,HR,77106,JITVPAQZGWPH
Bachelors,2014,Bangalore,1,23,Female,No,1,0,HR,66699,WEXAJUVCPHB
Bachelors,2017,Bangalore,3,23,Female,No,1,0,Finance,90187,ZGRACX
Bachelors,2012,Bangalore,3,39,Male,No,1,0,Marketing,80035,LDSEYQYA
PHD,2015,New Delhi,1,37,Male,No,1,0,Finance,71559,OPIKSGLV
Bachelors,2017,Pune,3,38,Male,No,2,0,Operations,94716,WBNDZDCVPSWK
Bachelors,2013,Bangalore,3,31,Female,No,0,1,Marketing,83441,YJMXHBINY
Bachelors,2016,Bangalore,3,38,Male,No,5,0,Marketing,57677,AVKFFJXZC
Bachelors,2017,Bangalore,3,25,Female,No,3,0,Marketing,52263,QQBDYEVI
